start_time,context,duration_minutes
2024-11-25 00:00:00,sleep,68
2024-11-25 01:08:00,sleep,81
2024-11-25 02:29:00,sleep,58
2024-11-25 03:27:00,sleep,44
2024-11-25 04:11:00,sleep,72
2024-11-25 05:23:00,sleep,37
2024-11-25 06:00:00,sleep_transition,16
2024-11-25 06:16:00,sleep_transition,28
2024-11-25 06:44:00,sleep_transition,20
2024-11-25 07:04:00,resting_awake,35
2024-11-25 07:39:00,resting_awake,38
2024-11-25 08:17:00,post_meal,32
2024-11-25 08:49:00,post_meal,51
2024-11-25 09:40:00,stress_event,21
2024-11-25 10:01:00,active_low,10
2024-11-25 10:11:00,resting_awake,73
2024-11-25 11:24:00,stress_event,19
2024-11-25 11:43:00,stress_event,25
2024-11-25 12:08:00,post_meal,59
2024-11-25 13:07:00,post_meal,88
2024-11-25 14:35:00,resting_awake,32
2024-11-25 15:07:00,resting_awake,38
2024-11-25 15:45:00,stress_event,13
2024-11-25 15:58:00,resting_awake,87
2024-11-25 17:25:00,active_high,50
2024-11-25 18:15:00,post_exercise,26
2024-11-25 18:41:00,post_exercise,21
2024-11-25 19:02:00,post_meal,103
2024-11-25 20:45:00,post_meal,67
2024-11-25 21:52:00,resting_awake,44
2024-11-25 22:36:00,resting_awake,32
2024-11-25 23:08:00,sleep,43
2024-11-25 23:51:00,sleep,46
2024-11-26 00:37:00,sleep,65
2024-11-26 01:42:00,sleep,79
2024-11-26 03:01:00,sleep,69
2024-11-26 04:10:00,sleep,33
2024-11-26 04:43:00,sleep,31
2024-11-26 05:14:00,sleep,35
2024-11-26 05:49:00,sleep,83
2024-11-26 07:12:00,resting_awake,36
2024-11-26 07:48:00,active_high,37
2024-11-26 08:25:00,post_meal,55
2024-11-26 09:20:00,resting_awake,65
2024-11-26 10:25:00,resting_awake,37
2024-11-26 11:02:00,resting_awake,69
2024-11-26 12:11:00,post_meal,65
2024-11-26 13:16:00,post_meal,60
2024-11-26 14:16:00,resting_awake,53
2024-11-26 15:09:00,resting_awake,89
2024-11-26 16:38:00,resting_awake,74
2024-11-26 17:52:00,active_high,36
2024-11-26 18:28:00,post_exercise,15
2024-11-26 18:43:00,post_exercise,22
2024-11-26 19:05:00,post_meal,70
2024-11-26 20:15:00,post_meal,110
2024-11-26 22:05:00,resting_awake,46
2024-11-26 22:51:00,resting_awake,37
2024-11-26 23:28:00,sleep,64
2024-11-27 00:32:00,sleep,64
2024-11-27 01:36:00,sleep,62
2024-11-27 02:38:00,sleep,88
2024-11-27 04:06:00,sleep,34
2024-11-27 04:40:00,sleep,71
2024-11-27 05:51:00,sleep,68
2024-11-27 06:59:00,sleep_transition,18
2024-11-27 07:17:00,resting_awake,23
2024-11-27 07:40:00,resting_awake,16
2024-11-27 07:56:00,active_high,42
2024-11-27 08:38:00,post_meal,52
2024-11-27 09:30:00,resting_awake,73
2024-11-27 10:43:00,resting_awake,30
2024-11-27 11:13:00,resting_awake,32
2024-11-27 11:45:00,resting_awake,43
2024-11-27 12:28:00,post_meal,83
2024-11-27 13:51:00,post_meal,71
2024-11-27 15:02:00,resting_awake,71
2024-11-27 16:13:00,resting_awake,61
2024-11-27 17:14:00,active_low,39
2024-11-27 17:53:00,active_low,23
2024-11-27 18:16:00,resting_awake,26
2024-11-27 18:42:00,post_exercise,25
2024-11-27 19:07:00,post_meal,88
2024-11-27 20:35:00,post_meal,95
2024-11-27 22:10:00,resting_awake,42
2024-11-27 22:52:00,resting_awake,36
2024-11-27 23:28:00,sleep,88
2024-11-28 00:56:00,sleep,80
2024-11-28 02:16:00,sleep,51
2024-11-28 03:07:00,sleep,57
2024-11-28 04:04:00,sleep,31
2024-11-28 04:35:00,sleep,71
2024-11-28 05:46:00,sleep,74
2024-11-28 07:00:00,active_high,40
2024-11-28 07:40:00,resting_awake,42
2024-11-28 08:22:00,post_meal,41
2024-11-28 09:03:00,resting_awake,40
2024-11-28 09:43:00,active_low,16
2024-11-28 09:59:00,active_low,29
2024-11-28 10:28:00,resting_awake,35
2024-11-28 11:03:00,resting_awake,66
2024-11-28 12:09:00,post_meal,77
2024-11-28 13:26:00,post_meal,86
2024-11-28 14:52:00,resting_awake,83
2024-11-28 16:15:00,resting_awake,81
2024-11-28 17:36:00,active_high,46
2024-11-28 18:22:00,post_exercise,26
2024-11-28 18:48:00,post_exercise,16
2024-11-28 19:04:00,post_meal,62
2024-11-28 20:06:00,post_meal,108
2024-11-28 21:54:00,resting_awake,34
2024-11-28 22:28:00,resting_awake,46
2024-11-28 23:14:00,sleep,85
2024-11-29 00:39:00,sleep,46
2024-11-29 01:25:00,sleep,88
2024-11-29 02:53:00,sleep,78
2024-11-29 04:11:00,sleep,31
2024-11-29 04:42:00,sleep,31
2024-11-29 05:13:00,sleep,57
2024-11-29 06:10:00,sleep_transition,14
2024-11-29 06:24:00,sleep_transition,10
2024-11-29 06:34:00,sleep_transition,10
2024-11-29 06:44:00,sleep_transition,28
2024-11-29 07:12:00,resting_awake,35
2024-11-29 07:47:00,resting_awake,20
2024-11-29 08:07:00,post_meal,52
2024-11-29 08:59:00,post_meal,33
2024-11-29 09:32:00,stress_event,26
2024-11-29 09:58:00,resting_awake,81
2024-11-29 11:19:00,resting_awake,77
2024-11-29 12:36:00,post_meal,60
2024-11-29 13:36:00,post_meal,77
2024-11-29 14:53:00,resting_awake,45
2024-11-29 15:38:00,stress_event,29
2024-11-29 16:07:00,resting_awake,55
2024-11-29 17:02:00,active_low,38
2024-11-29 17:40:00,active_high,36
2024-11-29 18:16:00,post_exercise,15
2024-11-29 18:31:00,post_exercise,21
2024-11-29 18:52:00,resting_awake,20
2024-11-29 19:12:00,post_meal,70
2024-11-29 20:22:00,post_meal,87
2024-11-29 21:49:00,resting_awake,54
2024-11-29 22:43:00,resting_awake,54
2024-11-29 23:37:00,sleep,79
