timestamp,respiratory_rate_bpm,context,sampling_interval_sec,quality_flag
2024-11-25 00:00:00,12.0,sleep,300,1
2024-11-25 00:05:00,12.312444405303237,sleep,300,1
2024-11-25 00:10:00,11.911490506989754,sleep,300,1
2024-11-25 00:15:00,11.62958492450538,sleep,300,1
2024-11-25 00:20:00,12.395299136058746,sleep,300,1
2024-11-25 00:25:00,12.726263865136486,sleep,300,1
2024-11-25 00:30:00,12.098284958150147,sleep,300,1
2024-11-25 00:35:00,12.65691672780186,sleep,300,1
2024-11-25 00:40:00,13.587137633930134,sleep,300,1
2024-11-25 00:45:00,13.51141267945149,sleep,300,1
2024-11-25 00:50:00,13.321126860595717,sleep,300,1
2024-11-25 00:55:00,13.086266209649246,sleep,300,1
2024-11-25 01:00:00,12.910339257640052,sleep,300,1
2024-11-25 01:08:00,12.0,sleep,300,1
2024-11-25 01:13:00,12.325911636963168,sleep,300,1
2024-11-25 01:18:00,12.686195389136891,sleep,300,1
2024-11-25 01:23:00,12.928776091567075,sleep,300,1
2024-11-25 01:28:00,13.645560109402,sleep,300,1
2024-11-25 01:33:00,13.966136257249914,sleep,300,1
2024-11-25 01:38:00,14.553052866634433,sleep,300,1
2024-11-25 01:43:00,14.031594784439962,sleep,300,1
2024-11-25 01:48:00,13.407651533212833,sleep,300,1
2024-11-25 01:53:00,12.951242903109739,sleep,300,1
2024-11-25 01:58:00,12.845896990065732,sleep,300,1
2024-11-25 02:03:00,13.397763695713685,sleep,300,1
2024-11-25 02:08:00,14.021791516024269,sleep,300,1
2024-11-25 02:13:00,13.78454263861601,sleep,300,1
2024-11-25 02:18:00,13.664113493666044,sleep,300,1
2024-11-25 02:23:00,13.099117195717662,sleep,300,1
2024-11-25 02:29:00,12.0,sleep,300,1
2024-11-25 02:34:00,11.965531587903817,sleep,300,1
2024-11-25 02:39:00,12.339491207003459,sleep,300,1
2024-11-25 02:44:00,12.080736360943678,sleep,300,1
2024-11-25 02:49:00,11.587129403761386,sleep,300,1
2024-11-25 02:54:00,12.172312540582638,sleep,300,1
2024-11-25 02:59:00,11.855542591013567,sleep,300,1
2024-11-25 03:04:00,12.350238523274557,sleep,300,1
2024-11-25 03:09:00,13.248479576158772,sleep,300,1
2024-11-25 03:14:00,13.836758047774781,sleep,300,1
2024-11-25 03:19:00,14.043641702162683,sleep,300,1
2024-11-25 03:27:00,12.0,sleep,300,1
2024-11-25 03:32:00,12.171699921554376,sleep,300,1
2024-11-25 03:37:00,11.647553283367566,sleep,300,1
2024-11-25 03:42:00,11.579822117824804,sleep,300,1
2024-11-25 03:47:00,12.041090684999611,sleep,300,1
2024-11-25 03:52:00,11.681031401354673,sleep,300,1
2024-11-25 03:57:00,11.682664033329434,sleep,300,1
2024-11-25 04:02:00,11.678672682832852,sleep,300,1
2024-11-25 04:11:00,12.0,sleep,300,1
2024-11-25 04:16:00,11.752122065863084,sleep,300,1
2024-11-25 04:21:00,11.246272184527463,sleep,300,1
2024-11-25 04:26:00,11.213361718465498,sleep,300,1
2024-11-25 04:31:00,11.308642600768499,sleep,300,1
2024-11-25 04:36:00,10.599146490532942,sleep,300,1
2024-11-25 04:41:00,11.256410482324513,sleep,300,1
2024-11-25 04:46:00,10.918398487444659,sleep,300,1
