timestamp,hrv_rmssd_ms,context,sampling_interval_sec,quality_flag
2024-11-25 00:00:00,58.5,sleep,300,1
2024-11-25 00:05:00,62.52180967580729,sleep,300,1
2024-11-25 00:10:00,62.472368431331034,sleep,300,1
2024-11-25 00:15:00,61.07662775431586,sleep,300,1
2024-11-25 00:20:00,60.86138678811265,sleep,300,1
2024-11-25 00:25:00,65.53270805868986,sleep,300,1
2024-11-25 00:30:00,65.61066521356065,sleep,300,1
2024-11-25 00:35:00,61.240319060742,sleep,300,1
2024-11-25 00:40:00,60.23794358427094,sleep,300,1
2024-11-25 00:45:00,60.129067556636784,sleep,300,1
2024-11-25 00:50:00,59.72123933552121,sleep,300,1
2024-11-25 00:55:00,59.48927902568324,sleep,300,1
2024-11-25 01:00:00,59.98370069764242,sleep,300,1
2024-11-25 01:08:00,58.5,sleep,300,1
2024-11-25 01:13:00,59.515602499314504,sleep,300,1
2024-11-25 01:18:00,58.20992432136983,sleep,300,1
2024-11-25 01:23:00,54.93195869233416,sleep,300,1
2024-11-25 01:28:00,57.28660879993083,sleep,300,1
2024-11-25 01:33:00,56.69914959986683,sleep,300,1
2024-11-25 01:38:00,57.77083966439577,sleep,300,1
2024-11-25 01:43:00,60.667726157594494,sleep,300,1
2024-11-25 01:48:00,60.9376033745733,sleep,300,1
2024-11-25 01:53:00,60.52179955607157,sleep,300,1
2024-11-25 01:58:00,60.75124977401179,sleep,300,1
2024-11-25 02:03:00,60.701755229881535,sleep,300,1
2024-11-25 02:08:00,63.01829645161222,sleep,300,1
2024-11-25 02:13:00,63.28638926760295,sleep,300,1
2024-11-25 02:18:00,61.82580727077564,sleep,300,1
2024-11-25 02:23:00,63.658631068379826,sleep,300,1
2024-11-25 02:29:00,58.5,sleep,300,1
2024-11-25 02:34:00,56.612075959833575,sleep,300,1
2024-11-25 02:39:00,59.9744254644036,sleep,300,1
2024-11-25 02:44:00,62.23414335250685,sleep,300,1
2024-11-25 02:49:00,64.60537211158096,sleep,300,1
2024-11-25 02:54:00,64.37808780219778,sleep,300,1
2024-11-25 02:59:00,64.43428205892369,sleep,300,1
2024-11-25 03:04:00,61.587569443964014,sleep,300,1
2024-11-25 03:09:00,63.3350193740871,sleep,300,1
2024-11-25 03:14:00,63.716166406983206,sleep,300,1
2024-11-25 03:19:00,64.44191691365404,sleep,300,1
2024-11-25 03:27:00,58.5,sleep,300,1
2024-11-25 03:32:00,61.54995148162665,sleep,300,1
