start_time,context,duration_minutes
2024-11-25 00:00:00,sleep,82
2024-11-25 01:22:00,sleep,30
2024-11-25 01:52:00,sleep,55
2024-11-25 02:47:00,sleep,56
2024-11-25 03:43:00,sleep,65
2024-11-25 04:48:00,sleep,76
2024-11-25 06:04:00,sleep_transition,10
2024-11-25 06:14:00,sleep_transition,21
2024-11-25 06:35:00,sleep_transition,25
2024-11-25 07:00:00,active_high,39
2024-11-25 07:39:00,resting_awake,29
2024-11-25 08:08:00,post_meal,35
2024-11-25 08:43:00,post_meal,38
2024-11-25 09:21:00,stress_event,18
2024-11-25 09:39:00,active_low,28
2024-11-25 10:07:00,active_low,17
2024-11-25 10:24:00,resting_awake,79
2024-11-25 11:43:00,resting_awake,35
2024-11-25 12:18:00,post_meal,59
2024-11-25 13:17:00,post_meal,68
2024-11-25 14:25:00,resting_awake,45
2024-11-25 15:10:00,resting_awake,46
2024-11-25 15:56:00,active_low,15
2024-11-25 16:11:00,resting_awake,81
2024-11-25 17:32:00,active_high,41
2024-11-25 18:13:00,resting_awake,31
2024-11-25 18:44:00,resting_awake,29
2024-11-25 19:13:00,post_meal,60
2024-11-25 20:13:00,post_meal,109
2024-11-25 22:02:00,resting_awake,32
2024-11-25 22:34:00,resting_awake,46
2024-11-25 23:20:00,sleep,63
2024-11-26 00:23:00,sleep,63
2024-11-26 01:26:00,sleep,66
2024-11-26 02:32:00,sleep,86
2024-11-26 03:58:00,sleep,79
2024-11-26 05:17:00,sleep,85
2024-11-26 06:42:00,sleep_transition,25
2024-11-26 07:07:00,resting_awake,27
2024-11-26 07:34:00,active_high,27
2024-11-26 08:01:00,post_meal,35
2024-11-26 08:36:00,post_meal,59
2024-11-26 09:35:00,active_low,18
2024-11-26 09:53:00,resting_awake,38
2024-11-26 10:31:00,active_low,17
2024-11-26 10:48:00,active_low,27
2024-11-26 11:15:00,active_low,24
2024-11-26 11:39:00,resting_awake,82
2024-11-26 13:01:00,post_meal,58
2024-11-26 13:59:00,post_meal,80
2024-11-26 15:19:00,resting_awake,72
2024-11-26 16:31:00,resting_awake,70
2024-11-26 17:41:00,active_high,34
2024-11-26 18:15:00,resting_awake,37
2024-11-26 18:52:00,post_exercise,22
2024-11-26 19:14:00,post_meal,106
