timestamp,glucose_mg_dl,context,sampling_interval_sec,quality_flag
2024-11-25 00:00:00,105.0,sleep,300,1
2024-11-25 00:05:00,99.15102073352325,sleep,300,1
2024-11-25 00:10:00,101.1564625566658,sleep,300,1
2024-11-25 00:15:00,98.97768481273746,sleep,300,1
2024-11-25 00:20:00,103.87713747175796,sleep,300,1
2024-11-25 00:25:00,105.48728776628259,sleep,300,1
2024-11-25 00:30:00,108.90121855807256,sleep,300,1
2024-11-25 00:35:00,98.5426473264076,sleep,300,1
2024-11-25 00:40:00,104.12097800038603,sleep,300,1
2024-11-25 00:45:00,108.78854813837961,sleep,300,1
2024-11-25 00:50:00,117.8881580280923,sleep,300,1
2024-11-25 00:55:00,115.78049160276777,sleep,300,1
2024-11-25 01:00:00,114.67027630197538,sleep,300,1
2024-11-25 01:05:00,113.34099942964993,sleep,300,1
2024-11-25 01:10:00,112.51137952490835,sleep,300,1
2024-11-25 01:15:00,120.55617737811419,sleep,300,1
2024-11-25 01:20:00,117.43847918414002,sleep,300,1
2024-11-25 01:25:00,111.46640987012746,sleep,300,1
2024-11-25 01:30:00,106.51635846952593,sleep,300,1
2024-11-25 01:35:00,113.367715384376,sleep,300,1
2024-11-25 01:40:00,121.60431742233413,sleep,300,1
2024-11-25 01:45:00,124.69073436047154,sleep,300,1
2024-11-25 01:50:00,121.30461636125737,sleep,300,1
2024-11-25 01:55:00,131.4956358721693,sleep,300,1
2024-11-25 02:00:00,127.01188621193899,sleep,300,1
2024-11-25 02:05:00,124.50839628293946,sleep,300,1
2024-11-25 02:10:00,121.49038390913167,sleep,300,1
2024-11-25 02:15:00,121.70772903441157,sleep,300,1
2024-11-25 02:20:00,130.29221733290356,sleep,300,1
2024-11-25 02:25:00,136.90577619849603,sleep,300,1
2024-11-25 02:30:00,133.03502270441462,sleep,300,1
2024-11-25 02:35:00,130.7057713368435,sleep,300,1
2024-11-25 02:40:00,134.8745467261084,sleep,300,1
2024-11-25 02:45:00,129.69201077092399,sleep,300,1
2024-11-25 02:50:00,123.06024037125154,sleep,300,1
2024-11-25 02:55:00,121.18139689385589,sleep,300,1
2024-11-25 03:00:00,115.13494873130037,sleep,300,1
2024-11-25 03:05:00,117.21471340740521,sleep,300,1
2024-11-25 03:10:00,122.01721268356083,sleep,300,1
2024-11-25 03:15:00,119.05934455811342,sleep,300,1
2024-11-25 03:20:00,119.46489744693896,sleep,300,1
2024-11-25 03:25:00,118.97632556987054,sleep,300,1
2024-11-25 03:30:00,124.46041452838733,sleep,300,1
2024-11-25 03:35:00,121.24058305052375,sleep,300,1
2024-11-25 03:40:00,113.74525413309416,sleep,300,1
2024-11-25 03:45:00,120.92793491857415,sleep,300,1
2024-11-25 03:50:00,117.0491712409648,sleep,300,1
2024-11-25 03:55:00,121.3947662963371,sleep,300,1
2024-11-25 04:00:00,123.45709902282807,sleep,300,1
2024-11-25 04:05:00,,sleep,300,0
2024-11-25 04:10:00,126.1949064132725,sleep,300,1
2024-11-25 04:15:00,129.4618546317562,sleep,300,1
2024-11-25 04:20:00,131.76108938355375,sleep,300,1
2024-11-25 04:25:00,127.1984181308192,sleep,300,1
2024-11-25 04:30:00,132.09927535643317,sleep,300,1
2024-11-25 04:35:00,138.81949864125616,sleep,300,1
2024-11-25 04:40:00,129.89770386505924,sleep,300,1
2024-11-25 04:45:00,130.21098247168717,sleep,300,1
2024-11-25 04:50:00,128.53216658155367,sleep,300,1
2024-11-25 04:55:00,136.1848831899155,sleep,300,1
2024-11-25 05:00:00,139.69381556547395,sleep,300,1
2024-11-25 05:05:00,142.9951373728189,sleep,300,1
2024-11-25 05:10:00,140.2531817516126,sleep,300,1
2024-11-25 05:15:00,135.86334130562568,sleep,300,1
2024-11-25 05:20:00,145.64367525515922,sleep,300,1
2024-11-25 05:25:00,138.91690060246535,sleep,300,1
2024-11-25 05:30:00,136.95759846928766,sleep,300,1
2024-11-25 05:35:00,139.42295550359654,sleep,300,1
2024-11-25 05:40:00,138.7446735878713,sleep,300,1
2024-11-25 05:45:00,130.58921251006333,sleep,300,1
2024-11-25 05:50:00,116.84526531722551,sleep,300,1
2024-11-25 05:55:00,113.16948823763987,sleep,300,1
2024-11-25 06:00:00,120.82579232290381,sleep,300,1
2024-11-25 06:05:00,120.56746008322274,sleep_transition,300,1
2024-11-25 06:10:00,117.36301466453722,sleep_transition,300,1
2024-11-25 06:15:00,118.08911388734764,sleep_transition,300,1
2024-11-25 06:20:00,129.374894857109,sleep_transition,300,1
2024-11-25 06:25:00,131.59610353781946,sleep_transition,300,1
2024-11-25 06:30:00,130.3415553583879,sleep_transition,300,1
2024-11-25 06:35:00,130.10115540803096,sleep_transition,300,1
2024-11-25 06:40:00,135.56104805112668,sleep_transition,300,1
2024-11-25 06:45:00,128.01518952978702,sleep_transition,300,1
2024-11-25 06:50:00,124.97704308035497,sleep_transition,300,1
2024-11-25 06:55:00,125.03582915064398,sleep_transition,300,1
2024-11-25 07:00:00,118.15421876007657,active_high,300,1
2024-11-25 07:05:00,120.95111959221293,active_high,300,1
2024-11-25 07:10:00,126.27647302269197,active_high,300,1
2024-11-25 07:15:00,131.6508381802921,active_high,300,1
2024-11-25 07:20:00,134.1709413109953,active_high,300,1
2024-11-25 07:25:00,127.68405018541347,active_high,300,1
2024-11-25 07:30:00,123.00933773439715,active_high,300,1
2024-11-25 07:35:00,126.1670382864021,active_high,300,1
2024-11-25 07:40:00,123.89932627587092,resting_awake,300,1
2024-11-25 07:45:00,125.17295555474456,resting_awake,300,1
2024-11-25 07:50:00,120.79150044312316,resting_awake,300,1
2024-11-25 07:55:00,124.37403285133185,resting_awake,300,1
2024-11-25 08:00:00,118.49346331263361,resting_awake,300,1
2024-11-25 08:05:00,130.95004283515422,resting_awake,300,1
2024-11-25 08:10:00,128.59499459856946,post_meal,300,1
2024-11-25 08:15:00,130.4316738551233,post_meal,300,1
2024-11-25 08:20:00,131.95415300125532,post_meal,300,1
2024-11-25 08:25:00,133.36824818892316,post_meal,300,1
2024-11-25 08:30:00,132.1663103438526,post_meal,300,1
2024-11-25 08:35:00,132.0249111339516,post_meal,300,1
2024-11-25 08:40:00,133.56920198912826,post_meal,300,1
2024-11-25 08:45:00,133.07003854932114,post_meal,300,1
2024-11-25 08:50:00,133.26573106930186,post_meal,300,1
2024-11-25 08:55:00,132.50649698874778,post_meal,300,1
2024-11-25 09:00:00,134.91789767550782,post_meal,300,1
2024-11-25 09:05:00,132.4901677591166,post_meal,300,1
2024-11-25 09:10:00,134.92904822436628,post_meal,300,1
2024-11-25 09:15:00,137.6913489050128,post_meal,300,1
2024-11-25 09:20:00,138.23347018926364,post_meal,300,1
2024-11-25 09:25:00,135.83761435338366,stress_event,300,1
2024-11-25 09:30:00,138.1078084016315,stress_event,300,1
2024-11-25 09:35:00,139.82142770344294,stress_event,300,1
2024-11-25 09:40:00,140.29850557317678,active_low,300,1
2024-11-25 09:45:00,143.1661491782603,active_low,300,1
2024-11-25 09:50:00,143.4632612445433,active_low,300,1
2024-11-25 09:55:00,142.80812534584246,active_low,300,1
2024-11-25 10:00:00,144.2714212126459,active_low,300,1
2024-11-25 10:05:00,146.24689262395285,active_low,300,1
2024-11-25 10:10:00,145.74191924789525,active_low,300,1
