timestamp,skin_temp_celsius,context,sampling_interval_sec,quality_flag
2024-11-25 00:00:00,36.0,sleep,300,1
2024-11-25 00:05:00,35.98373873217293,sleep,300,1
2024-11-25 00:10:00,36.02024340972852,sleep,300,1
2024-11-25 00:15:00,35.99122562004662,sleep,300,1
2024-11-25 00:20:00,36.064684759067504,sleep,300,1
2024-11-25 00:25:00,36.100076265640595,sleep,300,1
2024-11-25 00:30:00,36.201083785403625,sleep,300,1
2024-11-25 00:35:00,36.14880941823722,sleep,300,1
2024-11-25 00:40:00,36.15776493322665,sleep,300,1
2024-11-25 00:45:00,36.24656512430137,sleep,300,1
2024-11-25 00:50:00,36.261723827589734,sleep,300,1
2024-11-25 00:55:00,36.322589585905845,sleep,300,1
2024-11-25 01:00:00,36.2761304738522,sleep,300,1
2024-11-25 01:05:00,36.291698866712764,sleep,300,1
2024-11-25 01:10:00,36.273365260922,sleep,300,1
2024-11-25 01:15:00,36.27326592880297,sleep,300,1
2024-11-25 01:22:00,36.0,sleep,300,1
2024-11-25 01:27:00,35.94469230002488,sleep,300,1
2024-11-25 01:32:00,35.82830293045455,sleep,300,1
2024-11-25 01:37:00,35.7703593209997,sleep,300,1
2024-11-25 01:42:00,35.731368351022546,sleep,300,1
2024-11-25 01:47:00,35.60766781892106,sleep,300,1
2024-11-25 01:52:00,36.0,sleep,300,1
2024-11-25 01:57:00,36.12172463833346,sleep,300,1
2024-11-25 02:02:00,36.08068326117472,sleep,300,1
2024-11-25 02:07:00,36.04937054196708,sleep,300,1
2024-11-25 02:12:00,36.068785831831754,sleep,300,1
2024-11-25 02:17:00,35.91024039048052,sleep,300,1
2024-11-25 02:22:00,36.01369697894324,sleep,300,1
2024-11-25 02:27:00,35.996520858619675,sleep,300,1
2024-11-25 02:32:00,35.977428985470326,sleep,300,1
2024-11-25 02:37:00,35.998141523423364,sleep,300,1
2024-11-25 02:42:00,36.112330423958724,sleep,300,1
2024-11-25 02:47:00,36.0,sleep,300,1
2024-11-25 02:52:00,36.06340844795462,sleep,300,1
2024-11-25 02:57:00,36.048372370485176,sleep,300,1
2024-11-25 03:02:00,36.06374799592068,sleep,300,1
2024-11-25 03:07:00,36.00979697141226,sleep,300,1
2024-11-25 03:12:00,36.069227522649,sleep,300,1
2024-11-25 03:17:00,36.08647626720682,sleep,300,1
2024-11-25 03:22:00,36.13675925812085,sleep,300,1
2024-11-25 03:27:00,36.14154820010579,sleep,300,1
2024-11-25 03:32:00,36.1174893581246,sleep,300,1
2024-11-25 03:37:00,36.11445705191595,sleep,300,1
2024-11-25 03:43:00,36.0,sleep,300,1
2024-11-25 03:48:00,35.99313536764493,sleep,300,1
2024-11-25 03:53:00,35.99390358966658,sleep,300,1
2024-11-25 03:58:00,36.024671444399665,sleep,300,1
2024-11-25 04:03:00,36.02722541311006,sleep,300,1
2024-11-25 04:08:00,35.95164314226493,sleep,300,1
2024-11-25 04:13:00,35.98240212125023,sleep,300,1
2024-11-25 04:18:00,35.99956424397809,sleep,300,1
2024-11-25 04:23:00,35.97516103658532,sleep,300,1
2024-11-25 04:28:00,35.90679262018878,sleep,300,1
2024-11-25 04:33:00,35.95081554876415,sleep,300,1
2024-11-25 04:38:00,35.95517452368784,sleep,300,1
2024-11-25 04:43:00,35.99034671947456,sleep,300,1
2024-11-25 04:48:00,36.0,sleep,300,1
2024-11-25 04:53:00,35.969794264011234,sleep,300,1
2024-11-25 04:58:00,36.0302072164605,sleep,300,1
2024-11-25 05:03:00,36.06663907533034,sleep,300,1
2024-11-25 05:08:00,36.04822274540588,sleep,300,1
2024-11-25 05:13:00,35.99232003860837,sleep,300,1
2024-11-25 05:18:00,36.00965615102443,sleep,300,1
2024-11-25 05:23:00,36.01544274360414,sleep,300,1
2024-11-25 05:28:00,36.12903435870309,sleep,300,1
2024-11-25 05:33:00,36.15442694757452,sleep,300,1
2024-11-25 05:38:00,36.15768697089504,sleep,300,1
2024-11-25 05:43:00,36.084381754041075,sleep,300,1
2024-11-25 05:48:00,35.961051678832334,sleep,300,1
2024-11-25 05:53:00,35.976466109413956,sleep,300,1
2024-11-25 05:58:00,36.0337550784548,sleep,300,1
2024-11-25 06:04:00,36.5,sleep_transition,60,1
2024-11-25 06:05:00,36.46979344215376,sleep_transition,60,1
2024-11-25 06:06:00,36.50537474483206,sleep_transition,60,1
2024-11-25 06:07:00,36.51260073206442,sleep_transition,60,1
2024-11-25 06:08:00,36.5222270034423,sleep_transition,60,1
2024-11-25 06:09:00,36.51251577345534,sleep_transition,60,1
2024-11-25 06:10:00,36.510985765115244,sleep_transition,60,1
2024-11-25 06:11:00,36.533031230656185,sleep_transition,60,1
2024-11-25 06:12:00,36.588469836688084,sleep_transition,60,1
2024-11-25 06:13:00,39.64844260232115,sleep_transition,60,0
2024-11-25 06:14:00,36.5,sleep_transition,60,1
2024-11-25 06:15:00,36.49097113295753,sleep_transition,60,1
2024-11-25 06:16:00,36.52579261216192,sleep_transition,60,1
2024-11-25 06:17:00,36.573677123528604,sleep_transition,60,1
2024-11-25 06:18:00,36.60647556757735,sleep_transition,60,1
2024-11-25 06:19:00,36.57306720750229,sleep_transition,60,1
2024-11-25 06:20:00,36.57890625581991,sleep_transition,60,1
2024-11-25 06:21:00,36.5593909249947,sleep_transition,60,1
2024-11-25 06:22:00,36.554022079999555,sleep_transition,60,1
2024-11-25 06:23:00,36.53904445394126,sleep_transition,60,1
2024-11-25 06:24:00,36.50109363729289,sleep_transition,60,1
2024-11-25 06:25:00,36.50419960849238,sleep_transition,60,1
2024-11-25 06:26:00,36.56008778449751,sleep_transition,60,1
2024-11-25 06:27:00,36.571474623505324,sleep_transition,60,1
2024-11-25 06:28:00,36.629752465298274,sleep_transition,60,1
2024-11-25 06:29:00,36.62901404179253,sleep_transition,60,1
2024-11-25 06:30:00,36.61309398306195,sleep_transition,60,1
2024-11-25 06:31:00,36.663001015787444,sleep_transition,60,1
2024-11-25 06:32:00,36.70512485249529,sleep_transition,60,1
2024-11-25 06:33:00,36.6726683893202,sleep_transition,60,1
2024-11-25 06:34:00,36.74064256729269,sleep_transition,60,1
2024-11-25 06:35:00,36.5,sleep_transition,60,1
2024-11-25 06:36:00,36.51915248537327,sleep_transition,60,1
2024-11-25 06:37:00,36.57059560680775,sleep_transition,60,1
2024-11-25 06:38:00,36.50264520069132,sleep_transition,60,1
2024-11-25 06:39:00,36.609070093386705,sleep_transition,60,1
2024-11-25 06:40:00,36.64463865120252,sleep_transition,60,1
2024-11-25 06:41:00,36.6496608884539,sleep_transition,60,1
2024-11-25 06:42:00,36.71511346714906,sleep_transition,60,1
2024-11-25 06:43:00,36.709459990911995,sleep_transition,60,1
2024-11-25 06:44:00,36.71117712245216,sleep_transition,60,1
2024-11-25 06:45:00,36.684294965545284,sleep_transition,60,1
2024-11-25 06:46:00,36.69540864507608,sleep_transition,60,1
2024-11-25 06:47:00,36.69509267570623,sleep_transition,60,1
2024-11-25 06:48:00,36.69532078381183,sleep_transition,60,1
2024-11-25 06:49:00,36.72194271911355,sleep_transition,60,1
2024-11-25 06:50:00,36.718757179224156,sleep_transition,60,1
2024-11-25 06:51:00,36.72546547025686,sleep_transition,60,1
2024-11-25 06:52:00,36.664329309534345,sleep_transition,60,1
2024-11-25 06:53:00,36.6791808724329,sleep_transition,60,1
2024-11-25 06:54:00,36.735573583898756,sleep_transition,60,1
2024-11-25 06:55:00,36.77610900136869,sleep_transition,60,1
2024-11-25 06:56:00,36.746937299222786,sleep_transition,60,1
2024-11-25 06:57:00,36.76035647488483,sleep_transition,60,1
2024-11-25 06:58:00,36.738519555732324,sleep_transition,60,1
2024-11-25 06:59:00,36.66326118587622,sleep_transition,60,1
2024-11-25 07:00:00,37.5,active_high,600,1
2024-11-25 07:10:00,37.40513044407155,active_high,600,1
2024-11-25 07:20:00,37.33585819881349,active_high,600,1
2024-11-25 07:39:00,36.5,resting_awake,3600,1
2024-11-25 08:08:00,36.5,post_meal,1800,1
2024-11-25 08:43:00,36.5,post_meal,1800,1
2024-11-25 09:21:00,36.5,stress_event,300,1
2024-11-25 09:26:00,36.49263787496015,stress_event,300,1
2024-11-25 09:31:00,36.55438314070755,stress_event,300,1
2024-11-25 09:39:00,37.5,active_low,1800,1
2024-11-25 10:07:00,37.5,active_low,1800,1
2024-11-25 10:24:00,36.5,resting_awake,3600,1
2024-11-25 11:43:00,36.5,resting_awake,3600,1
2024-11-25 12:18:00,36.5,post_meal,1800,1
2024-11-25 13:17:00,36.5,post_meal,1800,1
2024-11-25 13:47:00,36.40188133119827,post_meal,1800,1
2024-11-25 14:25:00,36.5,resting_awake,3600,1
2024-11-25 15:10:00,36.5,resting_awake,3600,1
2024-11-25 15:56:00,37.5,active_low,1800,1
2024-11-25 16:11:00,36.5,resting_awake,3600,1
2024-11-25 17:32:00,37.5,active_high,600,1
2024-11-25 17:42:00,37.48015516435417,active_high,600,1
2024-11-25 17:52:00,37.543977937136745,active_high,600,1
2024-11-25 18:02:00,37.631086577253946,active_high,600,1
2024-11-25 18:13:00,36.5,resting_awake,3600,1
2024-11-25 18:44:00,36.5,resting_awake,3600,1
2024-11-25 19:13:00,36.5,post_meal,1800,1
2024-11-25 19:43:00,36.46072753489884,post_meal,1800,1
2024-11-25 20:13:00,36.5,post_meal,1800,1
2024-11-25 20:43:00,36.745070215194,post_meal,1800,1
2024-11-25 21:13:00,37.11195485759285,post_meal,1800,1
2024-11-25 22:02:00,36.5,resting_awake,3600,1
2024-11-25 22:34:00,36.5,resting_awake,3600,1
2024-11-25 23:20:00,36.0,sleep,300,1
