timestamp,heart_rate_bpm,context,sampling_interval_sec,quality_flag
2024-11-25 00:00:00,60.0,sleep,300,1
2024-11-25 00:05:00,59.0155245771763,sleep,300,1
2024-11-25 00:10:00,60.78647104418895,sleep,300,1
2024-11-25 00:15:00,58.40764328861296,sleep,300,1
2024-11-25 00:20:00,58.075902083964266,sleep,300,1
2024-11-25 00:25:00,57.816752509885646,sleep,300,1
2024-11-25 00:30:00,58.35917775869232,sleep,300,1
2024-11-25 00:35:00,57.32296974285335,sleep,300,1
2024-11-25 00:41:00,60.0,sleep,300,1
2024-11-25 00:46:00,56.66374862530352,sleep,300,1
2024-11-25 00:51:00,56.279307537139545,sleep,300,1
2024-11-25 00:56:00,60.370443348649815,sleep,300,1
2024-11-25 01:01:00,61.50155795308403,sleep,300,1
2024-11-25 01:06:00,61.17984582839584,sleep,300,1
2024-11-25 01:11:00,59.859811898856094,sleep,300,1
2024-11-25 01:16:00,59.169988046866386,sleep,300,1
2024-11-25 01:21:00,57.08452115984311,sleep,300,1
2024-11-25 01:26:00,56.07917763612861,sleep,300,1
2024-11-25 01:31:00,59.33210954186754,sleep,300,1
2024-11-25 01:37:00,60.0,sleep,300,1
2024-11-25 01:42:00,60.041202193758004,sleep,300,1
2024-11-25 01:47:00,61.715079447202946,sleep,300,1
2024-11-25 01:52:00,58.54250978335529,sleep,300,1
2024-11-25 01:57:00,58.845524894552206,sleep,300,1
2024-11-25 02:02:00,57.85959176362995,sleep,300,1
2024-11-25 02:07:00,58.187357701946404,sleep,300,1
2024-11-25 02:12:00,58.13184486136397,sleep,300,1
2024-11-25 02:17:00,59.66909569687173,sleep,300,1
2024-11-25 02:22:00,60.94808040340901,sleep,300,1
2024-11-25 02:27:00,59.69990955536471,sleep,300,1
2024-11-25 02:32:00,58.40811812242805,sleep,300,1
2024-11-25 02:37:00,54.57716528194889,sleep,300,1
2024-11-25 02:46:00,60.0,sleep,300,1
2024-11-25 02:51:00,61.21029563446315,sleep,300,1
2024-11-25 02:56:00,62.08705525287531,sleep,300,1
2024-11-25 03:01:00,62.25309431010013,sleep,300,1
2024-11-25 03:06:00,62.70044475809938,sleep,300,1
2024-11-25 03:11:00,60.32845518693367,sleep,300,1
2024-11-25 03:16:00,62.09204934214733,sleep,300,1
2024-11-25 03:25:00,60.0,sleep,300,1
2024-11-25 03:30:00,57.27818737659071,sleep,300,1
